extended_rank	name_short	name	inn	country	profile	in_training	actual_score	actual_rank	predicted_score	score_normalized	F1	F2	F3	F4	F5
1	Национальный Исследовательский Университет «Высшая Школа Экономики	Национальный исследовательский университет «Высшая школа экономики»	7714030726.0	RU	classical	True	74.18	1.0	74.18	100.0	1.732670262897653	2.519185223415561	0.5807166523087129	-0.153634223246919	-0.4635751162286191
2	Московский Государственный Университет Имени М. В. Ломоносова	Московский государственный университет имени М. В. Ломоносова	7729082090.0	RU	classical	True	72.73	2.0	72.73	98.72	1.238532803648902	1.537159046486586	0.0789755981884957	0.9628577234792688	0.8403402290220063
3	Московский Физико-Технический Институт (Национальный Исследовательский Университет)	Московский физико-технический институт (национальный исследовательский университет)	5008006211.0	RU	classical	True	72.65	3.0	72.65	98.64	2.219487145552556	3.844803893936075	0.9770073186147636	-0.2398184318235438	0.4206548117094409
4	Национальный Исследовательский Университет Итмо	Национальный исследовательский университет ИТМО	7813045547.0	RU	classical	True	57.14	4.0	57.14	84.9	1.9288754210848744	1.718033001478626	0.5588844764660792	1.0045784385293026	-0.24050172399404
5	Санкт-Петербургский Государственный Университет	Санкт-Петербургский государственный университет	7801002274.0	RU	classical	True	55.14	5.0	55.14	83.13	1.091433255170161	1.1548896241246758	0.315852157606547	0.8158881976587294	0.8153180251109768
6	Национальный Исследовательский Ядерный Университет «Мифи	Национальный исследовательский ядерный университет «МИФИ»	7724068140.0	RU	technical	True	54.73	6.0	54.73	82.77	1.8845481101287056	2.030017400407555	0.788949676003277	0.3199548941814896	0.7147813723571348
7	Московский Государственный Технический Университет Имени Н. Э. Баумана	Московский государственный технический университет имени Н. Э. Баумана	7701002520.0	RU	classical	True	54.67	7.0	54.67	82.72	0.8659515283825743	0.6329536807415503	-0.0490996121880904	-0.1480352311620236	0.3106401053534282
8	Национальный Исследовательский Технологический Университет «Мисис	Национальный исследовательский технологический университет «МИСИС»	7706019535.0	RU	technical	True	51.07	8.0	51.07	79.53	1.5983328877670058	1.3797409820247493	0.2919174679203548	-0.0501588830933846	0.1994561147959053
9	Российский Экономический Университет Имени Г. В. Плеханова	Российский экономический университет имени Г. В. Плеханова	7705043493.0	RU	econ_mgmt	True	49.26	9.0	49.26	77.92	0.4980822689002381	0.9740699424769113	0.3063621397085725	-0.3041197284441807	-0.1743081890072766
10	Московский Государственный Институт Международных Отношений Мид Рф	Московский государственный институт международных отношений МИД РФ	7729134728.0	RU	diplomatic	True	48.79	10.0	48.79	77.51	0.221210349761448	1.9525508309687472	0.8006270770764066	-0.0425716715645475	-0.0245672924547918
11	Финансовый Университет При Правительстве Рф	Финансовый университет при Правительстве РФ	7714086422.0	RU	econ_mgmt	True	46.73	11.0	46.73	75.68	0.4963740864669436	1.1849223898374202	0.2162459874482904	-0.3411932665352918	-0.2313641327859918
12	Российская Академия Народного Хозяйства И Государственной Службы При Президенте Рф	Российская академия народного хозяйства и государственной службы при Президенте РФ	7729050901.0	RU	econ_mgmt	True	46.58	12.0	46.58	75.55	0.2999890561195073	1.1937754513167396	1.4338278727784235	-1.4752290683193292	-0.2739746364110966
13	Новосибирский Национальный Исследовательский Государственный Университет	Новосибирский национальный исследовательский государственный университет	5408106490.0	RU	classical	True	42.85	13.0	42.85	72.24	1.6317058375574391	0.982127284612472	-0.4661274383011773	-0.0761518716726854	0.3779820015886747
14	Российская Экономическая Школа	Российская экономическая школа	7727016888.0	RU	econ_mgmt	True	41.87	14.0	41.87	71.38	1.1347669900852773	0.9163546778304336	3.664016288609131	-1.9762291152863072	-1.4181009601387655
15	Санкт-Петербургский Политехнический Университет Петра Великого	Санкт-Петербургский политехнический университет Петра Великого	7804040077.0	RU	technical	True	41.68	15.0	41.68	71.21	1.3103750519576418	0.4459727283076655	-0.3478069680773497	1.0496495493068572	-0.4243829828107317
16	Уральский Федеральный Университет Имени Первого Президента России Б. Н. Ельцина	Уральский федеральный университет имени первого Президента России Б. Н. Ельцина	6660003190.0	RU	classical	True	41.38	16.0	41.38	70.94	1.476394222232017	-0.2449980879388275	-0.3145017746502745	0.1609541239442126	-0.4711375255915526
17	Нижегородская Государственная Консерватория Им. М.И. Глинки	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НИЖЕГОРОДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. М.И. ГЛИНКИ"""	5260038527.0	RU		False			41.3740831629262	70.94	-0.3557197044418675	2.010106643712624	1.5564893709154763	-0.611037521307189	0.0277211771686839
18	Университет Иннополис	Университет Иннополис	1655258235.0	RU	classical	True	40.62	17.0	40.62	70.27	1.7166810910879469	1.890724909634956	2.900383602264617	1.7225649954732796	-0.3469275650561875
19	Российский Университет Дружбы Народов Имени Патриса Лумумбы	Российский университет дружбы народов имени Патриса Лумумбы	7728073720.0	RU	classical	True	39.1	18.0	39.1	68.92	1.473031560686986	0.4649970112486358	0.4002890366634239	2.0965176817008504	0.4673590324743283
20	Центральный Университет	Центральный университет	7743418023.0	RU	classical	True	37.37	19.0	37.37	67.39	0.5924099487707939	-0.043693208718649	-0.6797700290979161	0.2148927531115252	-0.8102264163832121
21	Первый Московский Государственный Медицинский Университет Имени И. М. Сеченова	Первый Московский государственный медицинский университет имени И. М. Сеченова	7704047505.0	RU	medical	True	36.71	20.0	36.71	66.8	1.0639789748717448	0.6732495183904698	1.7588523724686147	1.2582879402689329	1.8244627093133383
22	Белорусский Государственный Медицинский Университет	Белорусский государственный медицинский университет		BY	medical	False			35.79	65.99	-0.109	1.099	-0.148	0.048	-0.392
23	Казанский (Приволжский) Федеральный Университет (Кфу)	Казанский (Приволжский) федеральный университет (КФУ)	1655018018.0	RU	classical	True	35.64	21.0	35.64	65.86	0.997193817479624	-0.09585091777513	-0.5775425047991264	1.260680156674482	-0.1330136321900625
24	Национальный Исследовательский Томский Государственный Университет (Тгу)	Национальный исследовательский Томский государственный университет (ТГУ)	7018012970.0	RU	classical	True	34.92	22.0	34.92	65.22	1.6906772421203249	0.2208412247372139	-1.4376650856919615	1.1605968120727082	0.117189333851131
25	Санкт-Петербургский Горный Университет Императрицы Екатерины Ii	Санкт-Петербургский горный университет императрицы Екатерины II	7801021076.0	RU	technical	True	32.94	23.0	32.94	63.46	0.8885569481710581	-0.4964926752314541	0.6360677751337765	0.4395945556015863	-0.2141444985954657
26	Московская Государственная Академия Хореографии	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ ХОРЕОГРАФИИ»	7704145887.0	RU		False			32.71280528773751	63.26	-0.7632896853267163	1.1634940556090074	-0.2548766890078674	0.758133551047607	0.3359879257397168
27	"Государственное Бюджетное Образовательное Учреждение Высшего Образования Города Москвы ""Московский Государственный Институт Музыки Имени А.Г. Шнитке"	"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ МУЗЫКИ ИМЕНИ А.Г. ШНИТКЕ"""	7734099035.0	RU		False			32.48848013034578	63.06	-0.8113892759349399	1.3105277390212915	0.2252110185073945	-0.8901971078605109	0.216685202914177
28	Томский Политехнический Университет (Тпу)	Томский политехнический университет (ТПУ)	7018007264.0	RU	technical	True	32.48	24.0	32.48	63.06	1.5497910078695405	-0.5291166584122354	-0.3208534339347417	1.3956096546398873	0.0867280142294361
29	Московский Государственный Юридический Университет Им. О.Е. Кутафина	Московский государственный юридический университет им. О.Е. Кутафина	7703013574.0	RU	legal	True	32.44	25.0	32.44	63.02	-1.0443976638116448	1.3030461548950178	0.4604401290770368	-0.8020880437992118	0.19926629839557
30	Дальневосточный Федеральный Университет	Дальневосточный федеральный университет	2536014538.0	RU	classical	True	30.9	26.0	30.9	61.66	0.4418795387163838	-0.5618557761500503	0.061854528291247	0.7255093853825193	-0.2741449075738111
31	Мирэа — Российский Технологический Университет	МИРЭА — Российский технологический университет	7729040491.0	RU	technical	True	30.36	27.0	30.36	61.18	-0.1479423048112023	-0.4139233856728174	-0.414124386973257	-0.9069223436664432	-0.1198975260824712
32	Московская Государственная Консерватория Имени П.И. Чайковского	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.И. ЧАЙКОВСКОГО"""	7703107663.0	RU		False			30.00892581132944	60.87	-0.7696480854504936	0.828974317542805	1.0366199643100922	0.49300706809034	0.5445931375008668
33	Московский Авиационный Институт (Маи)	Московский авиационный институт (МАИ)	7712038455.0	RU	technical	True	29.52	28.0	29.52	60.43	0.0125392556262428	-0.2350895563621758	0.125720637507478	0.0009827959957749	0.6901285581373579
34	Беларусский Государственный Университет	Беларусский государственный университет		BY	classical	False			28.78	59.78	0.088	0.071	-0.011	-0.01	-0.2
35	Национальный Исследовательский Университет «Мэи	Национальный исследовательский университет «МЭИ»	7722019652.0	RU	technical	True	28.56	29.0	28.56	59.58	0.7949889093094679	-0.7761242394500396	-0.4386363516155649	-0.0264038871883457	-0.1424689611628387
36	Московский Государственный Лингвистический Университет	Московский государственный лингвистический университет	7704024466.0	RU	pedagogical	True	28.41	30.0	28.41	59.45	-0.4786724115625686	0.952991859230074	-0.8731259581241975	0.679795466514367	-0.7835876975744828
37	Школа-Студия (Институт) Имени Вл. И.Немировича-Данченко При Московском Художественном Академическом Театре Имени А.П.Чехова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ШКОЛА-СТУДИЯ (ИНСТИТУТ) ИМЕНИ ВЛ. И.НЕМИРОВИЧА-ДАНЧЕНКО ПРИ МОСКОВСКОМ ХУДОЖЕСТВЕННОМ АКАДЕМИЧЕСКОМ ТЕАТРЕ ИМЕНИ А.П.ЧЕХОВА"""	7710070005.0	RU		False			28.32794374668265	59.38	-0.5778590855979279	0.5131543048804449	-1.1082726600321615	0.6020379512188748	-0.8687631572721698
38	Православный Свято-Тихоновский Гуманитарный Университет	"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПРАВОСЛАВНЫЙ СВЯТО-ТИХОНОВСКИЙ ГУМАНИТАРНЫЙ УНИВЕРСИТЕТ"""	7705481169.0	RU		False			28.313356153449945	59.37	-0.2538995852763235	0.2083961467556087	-1.2083745649150457	1.1150936762310903	-0.4088631397826574
39	Российский Национальный Исследовательский Медицинский Университет Имени Н.И. Пирогова	Российский национальный исследовательский медицинский университет имени Н.И. Пирогова	7728095113.0	RU	medical	True	28.27	31.0	28.27	59.33	-0.0275416536458709	0.6737419771744174	1.5441090621889566	0.0330727505997431	2.310277313698492
40	Академия Хорового Искусства Имени В.С. Попова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ ХОРОВОГО ИСКУССТВА ИМЕНИ В.С. ПОПОВА"""	7712072689.0	RU		False			27.90937651065098	59.01	-1.0858174689009414	1.146063510783352	-0.8391066626992183	-2.8695710011454536	0.6753103748133423
41	Академия Русского Балета Имени А.Я. Вагановой	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ РУССКОГО БАЛЕТА ИМЕНИ А.Я. ВАГАНОВОЙ"""	7830002092.0	RU		False			27.83725689023297	58.94	-0.5214665100389464	0.3607634946898103	0.0741186677124906	0.7430177471633754	0.3846396624783439
42	Алтайский Государственный Гуманитарно-Педагогический Университет Имени В.М. Шукшина	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АЛТАЙСКИЙ ГОСУДАРСТВЕННЫЙ ГУМАНИТАРНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ В.М. ШУКШИНА"""	2226020370.0	RU		False			27.672699999999995	58.8	5.91525585768048e-17	-3.3368577677990003e-16	1.723264213951767e-16	3.554492563742652e-17	3.3414448011560055e-17
43	Академия Акварели И Изящных Искусств Сергея Андрияки	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ АКВАРЕЛИ И ИЗЯЩНЫХ ИСКУССТВ СЕРГЕЯ АНДРИЯКИ"""	7710445889.0	RU		False			27.005301604957975	58.21	-0.5938208103527093	0.2392763684819672	-1.8249575723388536	2.148270083975097	-0.9384541606207386
44	Московский Государственный Психолого-Педагогический Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ПСИХОЛОГО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ"""	7702181537.0	RU		False			26.826361872971177	58.05	0.0491323096775403	0.0101424108665145	-1.0031430462226885	-1.4880938532931205	-0.4683457113052783
45	Российская Академия Музыки Имени Гнесиных	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКАЯ АКАДЕМИЯ МУЗЫКИ ИМЕНИ ГНЕСИНЫХ»	7704018247.0	RU		False			26.70420048054589	57.94	-0.689053581998092	0.3694471825711162	1.730299123682269	0.1796422359928579	0.4642316638579781
46	Донецкая Академия Управления И Государственной Службы	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ДОНЕЦКАЯ АКАДЕМИЯ УПРАВЛЕНИЯ И ГОСУДАРСТВЕННОЙ СЛУЖБЫ»	9309021980.0	RU		False			26.55093634663177	57.8	-0.9508983359501524	0.8894312048835269	-1.0935620235306052	-2.873928666001748	-0.7048686351606855
47	Федеральное Государственное Бюджетное Учреждение Высшего Образования И Науки «Санкт-Петербургский Национальный Исследовательский Академический Университет Имени Ж.И. Алферова Российской Академии Наук	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ И НАУКИ «САНКТ-ПЕТЕРБУРГСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ АКАДЕМИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Ж.И. АЛФЕРОВА РОССИЙСКОЙ АКАДЕМИИ НАУК»	7804161723.0	RU		False			26.322226576711643	57.6	0.6897562953965245	-0.7458277905846877	-1.3422563963758978	0.5603731642934913	1.0413333027990834
48	Всероссийский Государственный Университет Кинематографии Имени С.А.Герасимова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВСЕРОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ КИНЕМАТОГРАФИИ ИМЕНИ С.А.ГЕРАСИМОВА»	7717032440.0	RU		False			26.2263766028212	57.52	-0.69782278272868	0.3946683658972466	0.0562963085929809	-0.3105649450216164	0.1233525812462445
49	Всероссийская Академия Внешней Торговли Министерства Экономического Развития Рф	Всероссийская академия внешней торговли Министерства экономического развития РФ	7729071387.0	RU	econ_mgmt	True	26.08	32.0	26.08	57.39	-0.5238038825456927	0.8310431309221933	0.3568622454748776	-1.466932351360588	0.0042269871109295
50	Российский Государственный Университет Правосудия Имени В.М. Лебедева	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПРАВОСУДИЯ ИМЕНИ В.М. ЛЕБЕДЕВА»	7710324108.0	RU		False			26.04066538560878	57.35	-0.6829558620505627	0.3359808640324644	-1.6290214688913165	0.2095530112083659	1.1076468883866528
51	Российский Государственный Художественно-Промышленный Университет Им. С.Г. Строганова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ХУДОЖЕСТВЕННО-ПРОМЫШЛЕННЫЙ УНИВЕРСИТЕТ ИМ. С.Г. СТРОГАНОВА»	7712038737.0	RU		False			26.014619039075708	57.33	-0.7572274110751037	0.4356934335147736	-0.5947584871735286	-0.3288917895709615	-0.5654996928662398
52	Белорусский Государственный Университет Информатики И Радиоэлектроники	Белорусский государственный университет информатики и радиоэлектроники		BY	technical	False			25.81	57.15	0.04	-0.262	0.019	-0.003	-0.148
