extended_rank	name_short	name	inn	country	profile	in_training	actual_score	actual_rank	predicted_score	score_normalized	F1	F2	F3	F4	F5	F1_normalized	F2_normalized	F3_normalized	F4_normalized	F5_normalized	wos_pubs_per100_2021	rnd_revenue_share	grants_per_100_fac	master_share	foreign_faculty_share	ege_budget	ege_paid	ege_min	vsosh_per100	olymp_per100	foreign_students_noncis_share	foreign_students_share_total	revenue_per_faculty	modern_equipment_share	postgrad_per_100	doct_share
1	Национальный Исследовательский Университет «Высшая Школа Экономики	Национальный исследовательский университет «Высшая школа экономики»	7714030726.0	RU	classical	True	74.18	1.0	74.18	100.0	1.732670262897653	2.519185223415561	0.5807166523087129	-0.153634223246919	-0.4635751162286191	10.0	10.0	5.58	6.71	4.49	4.5	23.87	2.03	31.21	1.51	96.46	83.35	66.3	0.66	1.12	1.47	10.66	8.55	54.63	1.37	17.24
2	Московский Государственный Университет Имени М. В. Ломоносова	Московский государственный университет имени М. В. Ломоносова	7729082090.0	RU	classical	True	72.73	2.0	72.73	98.72	1.238532803648902	1.537159046486586	0.0789755981884957	0.9628577234792688	0.8403402290220063	8.65	10.0	4.6	8.13	7.4	4.49	22.42	2.42	27.8	0.5	88.85	74.36	62.23	0.42	0.42	2.69	14.77	7.65	1.5	2.46	25.06
3	Московский Физико-Технический Институт (Национальный Исследовательский Университет)	Московский физико-технический институт (национальный исследовательский университет)	5008006211.0	RU	classical	True	72.65	3.0	72.65	98.64	2.219487145552556	3.844803893936075	0.9770073186147636	-0.2398184318235438	0.4206548117094409	10.0	10.0	6.35	6.6	6.46	5.43	41.06	2.05	41.19	1.25	98.43	92.78	85.47	1.2	1.41	1.2	10.58	8.58	41.77	2.57	17.28
4	Национальный Исследовательский Университет Итмо	Национальный исследовательский университет ИТМО	7813045547.0	RU	classical	True	57.14	4.0	57.14	84.9	1.9288754210848744	1.718033001478626	0.5588844764660792	1.0045784385293026	-0.24050172399404	10.0	10.0	5.54	8.19	4.99	5.11	34.24	2.08	45.81	1.49	92.09	68.44	77.38	0.1	1.45	2.67	16.94	8.68	38.4	2.03	11.75
5	Санкт-Петербургский Государственный Университет	Санкт-Петербургский государственный университет	7801002274.0	RU	classical	True	55.14	5.0	55.14	83.13	1.091433255170161	1.1548896241246758	0.315852157606547	0.8158881976587294	0.8153180251109768	8.24	9.62	5.06	7.95	7.34	4.6	12.14	1.88	23.55	0.8	89.26	70.82	46.41	0.3	0.59	2.35	17.3	8.03	36.87	2.53	23.67
6	Национальный Исследовательский Ядерный Университет «Мифи	Национальный исследовательский ядерный университет «МИФИ»	7724068140.0	RU	technical	True	54.73	6.0	54.73	82.77	1.8845481101287056	2.030017400407555	0.788949676003277	0.3199548941814896	0.7147813723571348	10.0	10.0	5.98	7.31	7.12	5.45	29.15	2.85	28.66	1.26	92.95	78.82	65.78	0.13	1.72	1.94	14.34	8.64	40.6	2.25	18.26
7	Московский Государственный Технический Университет Имени Н. Э. Баумана	Московский государственный технический университет имени Н. Э. Баумана	7701002520.0	RU	classical	True	54.67	7.0	54.67	82.72	0.8659515283825743	0.6329536807415503	-0.0490996121880904	-0.1480352311620236	0.3106401053534282	7.59	9.06	4.35	6.71	6.22	3.71	21.68	1.13	10.89	0.26	82.47	71.46	57.37	0.06	0.74	1.61	5.41	7.84	50.91	1.6	14.33
8	Национальный Исследовательский Технологический Университет «Мисис	Национальный исследовательский технологический университет «МИСИС»	7706019535.0	RU	technical	True	51.07	8.0	51.07	79.53	1.5983328877670058	1.3797409820247493	0.2919174679203548	-0.0501588830933846	0.1994561147959053	9.68	9.86	5.02	6.84	5.97	5.06	28.47	3.58	26.32	1.13	87.7	77.63	62.67	0.21	0.75	1.41	12.2	8.4	37.5	2.11	15.98
9	Российский Экономический Университет Имени Г. В. Плеханова	Российский экономический университет имени Г. В. Плеханова	7705043493.0	RU	econ_mgmt	True	49.26	9.0	49.26	77.92	0.4980822689002381	0.9740699424769113	0.3063621397085725	-0.3041197284441807	-0.1743081890072766	6.55	9.43	5.04	6.51	5.14	3.74	4.9	0.99	13.32	0.9	90.49	71.58	55.45	0.01	0.45	1.6	6.74	8.2	55.44	1.8	19.01
10	Московский Государственный Институт Международных Отношений Мид Рф	Московский государственный институт международных отношений МИД РФ	7729134728.0	RU	diplomatic	True	48.79	10.0	48.79	77.51	0.221210349761448	1.9525508309687472	0.8006270770764066	-0.0425716715645475	-0.0245672924547918	5.76	10.0	6.01	6.85	5.47	3.53	16.47	0.77	30.24	0.48	96.13	83.65	65.03	0.78	0.13	1.73	10.97	8.21	45.33	1.65	13.62
11	Финансовый Университет При Правительстве Рф	Финансовый университет при Правительстве РФ	7714086422.0	RU	econ_mgmt	True	46.73	11.0	46.73	75.68	0.4963740864669436	1.1849223898374202	0.2162459874482904	-0.3411932665352918	-0.2313641327859918	6.54	9.65	4.87	6.47	5.01	3.53	7.95	0.32	13.76	0.91	93.65	70.14	48.52	0.04	0.99	1.61	7.78	8.1	36.81	1.33	19.51
12	Российская Академия Народного Хозяйства И Государственной Службы При Президенте Рф	Российская академия народного хозяйства и государственной службы при Президенте РФ	7729050901.0	RU	econ_mgmt	True	46.58	12.0	46.58	75.55	0.2999890561195073	1.1937754513167396	1.4338278727784235	-1.4752290683193292	-0.2739746364110966	5.98	9.66	7.24	5.02	4.91	3.35	9.16	0.0	14.14	0.57	93.39	71.47	53.89	0.04	0.65	0.46	2.72	9.02	61.61	1.67	15.25
13	Новосибирский Национальный Исследовательский Государственный Университет	Новосибирский национальный исследовательский государственный университет	5408106490.0	RU	classical	True	42.85	13.0	42.85	72.24	1.6317058375574391	0.982127284612472	-0.4661274383011773	-0.0761518716726854	0.3779820015886747	9.77	9.43	3.54	6.81	6.37	5.58	34.17	2.67	17.22	0.68	83.62	73.44	59.73	0.07	0.75	1.6	6.49	7.63	33.82	2.22	17.45
14	Российская Экономическая Школа	Российская экономическая школа	7727016888.0	RU	econ_mgmt	True	41.87	14.0	41.87	71.38	1.1347669900852773	0.9163546778304336	3.664016288609131	-1.9762291152863072	-1.4181009601387655	8.36	9.36	10.0	4.38	2.36	4.15	6.09	1.17	34.76	3.24	89.1	70.81	54.67	0.0	0.0	0.0	0.86	9.93	76.84	0.49	7.81
15	Санкт-Петербургский Политехнический Университет Петра Великого	Санкт-Петербургский политехнический университет Петра Великого	7804040077.0	RU	technical	True	41.68	15.0	41.68	71.21	1.3103750519576418	0.4459727283076655	-0.3478069680773497	1.0496495493068572	-0.4243829828107317	8.86	8.86	3.77	8.25	4.58	4.29	16.74	2.77	22.79	2.15	80.74	74.23	58.19	0.01	0.29	2.3	16.74	7.94	36.1	1.76	16.41
